epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93938,3.37571,4.5865,2.8105,0.00226,0.09207,0.00277,0.00086,3.32231,4.16217,2.91172,0.000328358,0.000328358,0.000328358
2,19.2561,2.63769,3.44175,2.4047,0.43711,0.09016,0.07164,0.03093,2.59047,3.03459,2.45713,0.000655141,0.000655141,0.000655141
3,25.249,2.12285,2.62682,2.04104,0.24474,0.35122,0.22619,0.10134,2.16384,2.35488,2.04244,0.000975323,0.000975323,0.000975323
4,31.3,1.87257,2.14192,1.76773,0.37611,0.39302,0.33615,0.17288,1.93481,2.31011,1.86214,0.0009703,0.0009703,0.0009703
5,37.3126,1.77078,1.92467,1.68677,0.58224,0.51127,0.50378,0.25894,1.75275,1.74523,1.73999,0.0009604,0.0009604,0.0009604
6,43.2164,1.68918,1.71379,1.62415,0.6385,0.57272,0.63536,0.33999,1.71148,1.4956,1.66912,0.0009505,0.0009505,0.0009505
7,49.0859,1.64476,1.55143,1.56826,0.76,0.60262,0.7012,0.37006,1.69154,1.43616,1.65567,0.0009406,0.0009406,0.0009406
8,55.0307,1.61586,1.46872,1.5464,0.80556,0.63745,0.7321,0.40652,1.66626,1.41479,1.59991,0.0009307,0.0009307,0.0009307
9,60.9349,1.56479,1.39148,1.51335,0.78564,0.68048,0.76799,0.42847,1.59773,1.26662,1.5812,0.0009208,0.0009208,0.0009208
10,66.7995,1.56171,1.35205,1.51508,0.79819,0.67801,0.76544,0.43862,1.60148,1.20279,1.56929,0.0009109,0.0009109,0.0009109
11,72.6593,1.5128,1.28459,1.48655,0.81692,0.65369,0.76217,0.43159,1.62552,1.25519,1.57885,0.000901,0.000901,0.000901
12,78.5825,1.51501,1.2522,1.47492,0.78867,0.67049,0.75382,0.41212,1.62174,1.17113,1.58585,0.0008911,0.0008911,0.0008911
13,84.4423,1.49198,1.23292,1.47056,0.81673,0.72544,0.79502,0.46123,1.56066,1.09338,1.53645,0.0008812,0.0008812,0.0008812
14,90.2959,1.47211,1.20078,1.45356,0.86176,0.70656,0.7983,0.4572,1.55384,1.07179,1.54624,0.0008713,0.0008713,0.0008713
15,96.0858,1.4847,1.16722,1.44767,0.85187,0.67248,0.79327,0.45557,1.55205,1.10146,1.51374,0.0008614,0.0008614,0.0008614
16,102.127,1.45187,1.16084,1.43581,0.88426,0.72581,0.81142,0.47034,1.53268,1.02668,1.52536,0.0008515,0.0008515,0.0008515
17,107.997,1.44358,1.12025,1.42616,0.81549,0.7556,0.80012,0.46046,1.55138,1.00551,1.53775,0.0008416,0.0008416,0.0008416
